timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-01T10:59:30.000Z,0,lap,stop,2025-01-01T10:54:51.000Z,"56,146798","10,202222","56,138873","10,206260","279,581","274,367","1000,00",399,58,136,149,85,92,1,22,distance,running,generic,21,27,"0,70","0,50","3,645","4,189",17
2025-01-01T11:03:52.000Z,1,lap,stop,2025-01-01T10:59:31.000Z,"56,138816","10,206340","56,130765","10,212685","262,542","262,542","1000,00",394,69,157,163,91,93,0,5,distance,running,generic,16,17,"0,26","0,50","3,809","4,115",15
2025-01-01T11:08:45.000Z,2,lap,stop,2025-01-01T11:03:53.000Z,"56,130732","10,212691","56,127117","10,205819","292,698","292,698","1000,00",443,82,168,177,91,93,36,6,distance,running,generic,16,16,"0,61","0,50","3,416","3,742",15
2025-01-01T11:13:12.000Z,3,lap,stop,2025-01-01T11:08:46.000Z,"56,127150","10,205781","56,134908","10,199954","266,533","266,533","1000,00",395,72,162,167,88,92,1,19,distance,running,generic,16,17,"0,91","0,50","3,752","4,385",16
2025-01-01T11:18:06.000Z,4,lap,stop,2025-01-01T11:13:13.000Z,"56,134938","10,199943","56,143493","10,199121","294,719","276,167","1000,00",411,74,161,169,87,94,8,2,distance,running,generic,18,19,"0,68","0,50","3,621","4,022",17
2025-01-01T11:21:09.000Z,5,lap,stop,2025-01-01T11:18:07.000Z,"56,143522","10,199109","56,146628","10,202177","137,656","137,656","499,05",205,38,166,169,90,92,6,0,sessionEnd,running,generic,19,20,"0,43","0,50","3,625","3,658",19
