timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-09T18:57:18.000Z,0,lap,stop,2025-01-09T18:52:13.000Z,"56,146866","10,202618","56,139697","10,205394","305,101","271,854","1000,00",404,63,140,157,89,92,1,16,distance,running,generic,24,27,"0,66","0,50","3,678","4,078",24
2025-01-09T19:01:47.000Z,1,lap,stop,2025-01-09T18:57:19.000Z,"56,139668","10,205428","56,132162","10,212259","269,060","269,060","1000,00",409,73,158,163,92,93,0,7,distance,running,generic,23,24,"0,03","0,50","3,717","4,059",23
2025-01-09T19:06:44.000Z,2,lap,stop,2025-01-09T19:01:48.000Z,"56,132135","10,212286","56,125754","10,207239","297,647","297,647","1000,00",450,84,168,174,91,93,36,3,distance,running,generic,23,24,"0,95","0,50","3,360","3,667",23
2025-01-09T19:11:35.000Z,3,lap,stop,2025-01-09T19:06:45.000Z,"56,125761","10,207195","56,126986","10,197647","290,856","290,856","1000,00",436,82,168,175,90,93,23,10,distance,running,generic,25,25,"0,63","0,50","3,438","3,732",24
2025-01-09T19:15:54.000Z,4,lap,stop,2025-01-09T19:11:36.000Z,"56,127010","10,197678","56,133311","10,196592","258,635","258,635","1000,00",385,67,157,166,89,91,0,39,distance,running,generic,22,25,"0,44","0,50","3,866","4,050",19
2025-01-09T19:20:41.000Z,5,lap,stop,2025-01-09T19:15:55.000Z,"56,133323","10,196537","56,142187","10,194292","287,014","277,770","1000,00",415,77,164,167,89,92,3,1,distance,running,generic,18,19,"0,80","0,50","3,600","4,050",18
2025-01-09T19:25:20.000Z,6,lap,stop,2025-01-09T19:20:42.000Z,"56,142219","10,194284","56,147124","10,200964","279,096","279,096","1000,00",421,76,164,168,91,93,4,4,distance,running,generic,18,19,"0,22","0,50","3,583","4,040",18
2025-01-09T19:25:56.000Z,7,lap,stop,2025-01-09T19:25:21.000Z,"56,147126","10,201016","56,146900","10,202229","29,015","29,015","104,70",40,8,167,169,91,92,1,0,sessionEnd,running,generic,18,18,"0,53","0,50","3,608","3,527",18
