timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-12T08:41:29.000Z,0,lap,stop,2025-01-12T08:34:05.000Z,"56,146301","10,202343","56,138321","10,200576","443,041","358,857","1000,00",28,77,136,150,4,96,0,18,distance,running,generic,22,26,"0,65","0,50","2,787","3,536",17
2025-01-12T11:47:51.000Z,1,lap,stop,2025-01-12T08:41:30.000Z,"56,138300","10,200575","56,140478","10,205148","11181,882","341,708","1000,00",85,72,133,153,13,99,1,3,distance,running,generic,16,17,"0,34","0,00","2,926","3,648",15
2025-01-12T11:55:36.000Z,2,lap,stop,2025-01-12T11:47:52.000Z,"56,140502","10,205117","56,146430","10,202223","364,330","297,017","870,25",281,58,131,146,60,100,11,0,sessionEnd,running,generic,15,15,"0,50","0,00","2,930","3,611",14
