timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-03T06:56:31.000Z,0,lap,stop,2025-01-03T06:51:12.000Z,"56,146672","10,202008","56,139016","10,206073","319,438","308,717","1000,00",452,72,142,153,85,92,0,17,distance,running,generic,26,28,"0,81","0,50","3,239","3,910",24
2025-01-03T07:01:15.000Z,1,lap,stop,2025-01-03T06:56:32.000Z,"56,138992","10,206104","56,130917","10,212581","283,747","283,747","1000,00",424,75,153,163,90,92,0,6,distance,running,generic,23,24,"0,16","0,50","3,524","3,900",22
2025-01-03T07:06:33.000Z,2,lap,stop,2025-01-03T07:01:16.000Z,"56,130886","10,212589","56,125498","10,204736","318,027","318,027","1000,00",481,88,161,168,91,93,36,7,distance,running,generic,21,22,"0,49","0,50","3,144","3,574",17
2025-01-03T07:11:36.000Z,3,lap,stop,2025-01-03T07:06:34.000Z,"56,125489","10,204688","56,127887","10,199001","303,216","303,216","1000,00",433,83,163,171,86,94,16,20,distance,running,generic,13,17,"0,33","0,50","3,298","3,816",11
2025-01-03T07:16:57.000Z,4,lap,stop,2025-01-03T07:11:37.000Z,"56,127905","10,199047","56,130062","10,211431","321,095","287,611","1000,00",417,63,147,158,85,91,1,29,distance,running,generic,13,15,"0,96","0,50","3,477","4,040",11
2025-01-03T07:21:48.000Z,5,lap,stop,2025-01-03T07:16:58.000Z,"56,130094","10,211416","56,138221","10,205627","291,154","291,154","1000,00",439,73,154,165,91,94,8,14,distance,running,generic,13,15,"0,09","0,50","3,435","3,676",13
2025-01-03T07:26:53.000Z,6,lap,stop,2025-01-03T07:21:49.000Z,"56,138251","10,205629","56,146080","10,202151","304,582","304,582","1000,00",461,83,161,168,91,93,15,0,distance,running,generic,13,14,"0,34","0,50","3,283","3,882",12
2025-01-03T07:27:25.000Z,7,lap,stop,2025-01-03T07:26:54.000Z,"56,146114","10,202132","56,146571","10,202138","18,526","18,526","58,25",24,5,164,166,90,92,1,0,sessionEnd,running,generic,13,13,"0,89","0,50","3,144","3,294",13
