timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-07T05:13:33.000Z,0,lap,stop,2025-01-07T05:07:43.000Z,"56,146558","10,202074","56,144268","10,189052","350,084","320,797","1000,00",477,77,147,169,88,93,9,12,distance,running,generic,23,25,"0,35","0,50","3,117","3,900",21
2025-01-07T05:18:14.000Z,1,lap,stop,2025-01-07T05:13:34.000Z,"56,144291","10,189008","56,152413","10,183168","280,502","280,502","1000,00",422,74,156,174,91,92,9,28,distance,running,generic,18,21,"0,02","0,50","3,565","3,788",16
2025-01-07T05:23:06.000Z,2,lap,stop,2025-01-07T05:18:15.000Z,"56,152446","10,183167","56,156256","10,194123","292,686","283,278","1000,00",430,79,165,174,90,95,4,8,distance,running,generic,16,16,"0,64","0,50","3,530","3,910",16
2025-01-07T05:28:20.000Z,3,lap,stop,2025-01-07T05:23:07.000Z,"56,156271","10,194170","56,158424","10,208814","313,876","296,128","1000,00",448,83,165,172,89,97,8,6,distance,running,generic,17,17,"0,61","0,50","3,377","3,686",16
2025-01-07T05:33:42.000Z,4,lap,stop,2025-01-07T05:28:21.000Z,"56,158444","10,208845","56,156466","10,211503","321,774","295,256","1000,00",446,82,167,173,90,94,6,10,distance,running,generic,17,18,"0,48","0,50","3,387","3,760",15
2025-01-07T05:37:15.000Z,5,lap,stop,2025-01-07T05:33:43.000Z,"56,156435","10,211491","56,154067","10,210614","84,516","84,516","301,36",127,23,167,170,92,94,0,5,sessionEnd,running,generic,15,15,"0,63","0,50","3,566","3,742",15
