timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-12T19:29:57.000Z,0,lap,stop,2025-01-12T19:25:14.000Z,"56,146545","10,202404","56,139229","10,207016","283,096","283,096","1000,00",424,62,139,164,88,93,0,22,distance,running,generic,24,30,"0,41","0,50","3,532","4,208",22
2025-01-12T19:34:29.000Z,1,lap,stop,2025-01-12T19:29:58.000Z,"56,139220","10,207073","56,131051","10,212552","271,662","271,662","1000,00",414,72,154,162,92,94,1,4,distance,running,generic,22,23,"0,18","0,50","3,681","3,863",22
2025-01-12T19:39:25.000Z,2,lap,stop,2025-01-12T19:34:30.000Z,"56,131022","10,212561","56,125551","10,204909","295,708","295,708","1000,00",454,82,161,170,92,94,40,5,distance,running,generic,23,23,"0,55","0,50","3,382","3,667",22
2025-01-12T19:44:10.000Z,3,lap,stop,2025-01-12T19:39:26.000Z,"56,125547","10,204861","56,127951","10,199179","285,073","285,073","1000,00",433,77,162,172,91,94,16,22,distance,running,generic,18,23,"0,45","0,50","3,508","3,760",16
2025-01-12T19:48:27.000Z,4,lap,stop,2025-01-12T19:44:11.000Z,"56,127984","10,199225","56,134570","10,196111","257,337","257,337","1000,00",386,65,154,166,90,92,0,27,distance,running,generic,15,16,"0,88","0,50","3,886","4,012",14
2025-01-12T19:52:58.000Z,5,lap,stop,2025-01-12T19:48:28.000Z,"56,134604","10,196107","56,142862","10,196604","270,583","270,583","1000,00",411,73,159,164,92,93,5,0,distance,running,generic,14,15,"0,13","0,50","3,696","3,938",14
2025-01-12T19:58:43.000Z,6,lap,stop,2025-01-12T19:52:59.000Z,"56,142864","10,196650","56,146956","10,198617","345,048","281,360","1000,00",425,67,152,161,91,93,5,2,distance,running,generic,16,18,"0,01","0,50","3,554","4,609",14
2025-01-12T20:00:01.000Z,7,lap,stop,2025-01-12T19:58:44.000Z,"56,146991","10,198632","56,146916","10,202269","70,662","70,662","256,22",105,18,160,163,92,94,3,1,sessionEnd,running,generic,16,16,"0,64","0,50","3,626","3,742",16
