timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-05T06:45:03.000Z,0,lap,stop,2025-01-05T06:40:17.000Z,"56,146692","10,202128","56,139291","10,206797","287,117","287,117","1000,00",433,65,139,149,89,93,0,16,distance,running,generic,26,27,"0,84","0,50","3,483","3,872",25
2025-01-05T06:49:42.000Z,1,lap,stop,2025-01-05T06:45:04.000Z,"56,139284","10,206860","56,131223","10,212977","279,079","279,079","1000,00",424,74,153,160,92,93,0,5,distance,running,generic,24,25,"0,09","0,50","3,583","3,807",24
2025-01-05T06:54:36.000Z,2,lap,stop,2025-01-05T06:49:43.000Z,"56,131195","10,212995","56,123615","10,218759","293,666","293,666","1000,00",450,81,161,172,92,94,16,5,distance,running,generic,24,24,"0,41","0,50","3,405","3,770",23
2025-01-05T06:59:30.000Z,3,lap,stop,2025-01-05T06:54:37.000Z,"56,123606","10,218812","56,117210","10,227006","294,182","294,182","1000,00",444,81,163,175,91,95,21,15,distance,running,generic,25,26,"0,13","0,50","3,399","3,732",24
2025-01-05T07:05:02.000Z,4,lap,stop,2025-01-05T06:59:31.000Z,"56,117184","10,226992","56,111884","10,226886","331,199","331,199","1000,00",497,91,163,171,89,93,22,17,distance,running,generic,22,26,"0,54","0,50","3,019","3,667",18
2025-01-05T07:10:17.000Z,5,lap,stop,2025-01-05T07:05:03.000Z,"56,111901","10,226846","56,114957","10,216099","315,187","315,187","1000,00",479,87,163,170,91,94,40,11,distance,running,generic,17,18,"0,86","0,50","3,173","3,648",16
2025-01-05T07:15:01.000Z,6,lap,stop,2025-01-05T07:10:18.000Z,"56,114958","10,216044","56,117088","10,200987","284,473","284,473","1000,00",430,78,164,172,91,93,16,17,distance,running,generic,16,17,"0,44","0,50","3,515","3,994",15
2025-01-05T07:19:35.000Z,7,lap,stop,2025-01-05T07:15:02.000Z,"56,117095","10,200935","56,121939","10,189378","274,028","274,028","1000,00",418,77,166,171,92,94,5,6,distance,running,generic,16,16,"0,48","0,50","3,649","3,788",15
2025-01-05T07:24:11.000Z,8,lap,stop,2025-01-05T07:19:36.000Z,"56,121955","10,189427","56,130237","10,187426","275,947","275,947","1000,00",418,73,162,173,91,94,0,18,distance,running,generic,16,16,"0,78","0,50","3,624","3,816",15
2025-01-05T07:28:50.000Z,9,lap,stop,2025-01-05T07:24:12.000Z,"56,130268","10,187453","56,135704","10,194079","278,596","278,596","1000,00",422,75,163,172,91,94,1,27,distance,running,generic,16,17,"0,57","0,50","3,589","4,217",16
2025-01-05T07:33:32.000Z,10,lap,stop,2025-01-05T07:28:51.000Z,"56,135675","10,194115","56,136692","10,200730","282,190","282,190","1000,00",431,76,164,171,92,94,5,4,distance,running,generic,17,17,"0,50","0,50","3,544","4,068",16
2025-01-05T07:38:15.000Z,11,lap,stop,2025-01-05T07:33:33.000Z,"56,136744","10,200762","56,144997","10,199779","282,832","282,832","1000,00",433,79,167,172,92,94,11,2,distance,running,generic,17,17,"0,31","0,50","3,536","3,882",16
2025-01-05T07:42:18.000Z,12,lap,stop,2025-01-05T07:38:16.000Z,"56,145019","10,199829","56,146581","10,202211","131,646","131,646","458,23",197,36,167,171,92,93,1,0,sessionEnd,running,generic,17,17,"0,20","0,50","3,481","3,471",17
