timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-10T05:27:16.000Z,0,lap,stop,2025-01-10T05:21:49.000Z,"56,146811","10,202082","56,153987","10,207123","327,119","327,119","1000,00",504,62,126,135,90,95,1,20,distance,running,generic,22,26,"0,92","0,50","3,057","4,451",17
2025-01-10T05:36:54.000Z,1,lap,stop,2025-01-10T05:27:17.000Z,"56,153984","10,207147","56,158071","10,216268","578,320","320,236","1000,00",481,66,133,141,89,94,0,9,distance,running,generic,17,19,"0,65","0,50","3,123","3,770",14
2025-01-10T05:46:03.000Z,2,lap,stop,2025-01-10T05:36:55.000Z,"56,158070","10,216321","56,160191","10,216217","549,019","297,029","1000,00",433,67,143,156,84,96,1,0,distance,running,generic,19,20,"0,34","0,00","3,367","4,292",16
2025-01-10T05:52:11.000Z,3,lap,stop,2025-01-10T05:46:04.000Z,"56,160167","10,216167","56,155157","10,213663","368,163","270,600","1000,00",405,64,147,160,85,97,0,3,distance,running,generic,14,16,"0,63","0,00","3,695","4,245",13
2025-01-10T05:57:46.000Z,4,lap,stop,2025-01-10T05:52:12.000Z,"56,155124","10,213648","56,153822","10,212240","334,613","294,661","1000,00",463,76,155,167,91,111,7,6,distance,running,generic,12,13,"0,05","0,50","3,394","4,022",12
2025-01-10T06:00:04.000Z,5,lap,stop,2025-01-10T05:57:47.000Z,"56,153857","10,212224","56,154059","10,210639","40,337","40,337","154,14",59,9,154,165,92,95,0,0,sessionEnd,running,generic,13,13,"0,67","0,50","3,821","4,180",13
