timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-15T14:55:02.000Z,0,lap,stop,2025-01-15T14:49:31.000Z,"56,144784","10,196888","56,136796","10,195318","331,213","270,568","1000,00",398,37,108,118,84,93,0,7,distance,running,generic,19,23,"0,97","0,50","3,696","4,619",16
2025-01-15T15:00:43.000Z,1,lap,stop,2025-01-15T14:55:03.000Z,"56,136761","10,195338","56,129482","10,200836","341,325","261,965","1000,00",392,40,115,129,90,93,10,2,distance,running,generic,15,16,"0,71","0,50","3,817","4,563",14
2025-01-15T15:06:08.000Z,2,lap,stop,2025-01-15T15:00:44.000Z,"56,129451","10,200806","56,122483","10,200034","324,614","324,614","1000,00",482,59,125,137,89,95,46,6,distance,running,generic,15,16,"0,14","0,00","3,081","3,835",14
2025-01-15T15:10:42.000Z,3,lap,stop,2025-01-15T15:06:09.000Z,"56,122450","10,200059","56,127009","10,209233","274,134","274,134","1000,00",405,64,144,164,88,93,0,33,distance,running,generic,16,18,"0,99","0,50","3,648","3,975",16
2025-01-15T15:15:34.000Z,4,lap,stop,2025-01-15T15:10:43.000Z,"56,127039","10,209258","56,130179","10,202688","291,749","291,749","1000,00",437,79,158,166,89,92,16,21,distance,running,generic,18,18,"0,33","0,50","3,428","4,068",18
2025-01-15T15:20:39.000Z,5,lap,stop,2025-01-15T15:15:35.000Z,"56,130202","10,202651","56,137704","10,201378","304,979","304,979","1000,00",451,80,156,163,88,125,0,15,distance,running,generic,19,20,"0,69","0,00","3,279","3,546",18
2025-01-15T15:26:42.000Z,6,lap,stop,2025-01-15T15:20:40.000Z,"56,137737","10,201353","56,145302","10,201799","362,867","295,947","1000,00",438,75,153,165,87,92,10,0,distance,running,generic,21,22,"0,73","0,50","3,379","3,667",20
2025-01-15T15:28:18.000Z,7,lap,stop,2025-01-15T15:26:43.000Z,"56,145303","10,201843","56,146612","10,202228","50,794","50,794","172,57",73,13,159,163,90,92,1,0,sessionEnd,running,generic,20,20,"0,82","0,50","3,397","3,480",20
