timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-17T18:08:35.000Z,0,lap,stop,2025-01-17T18:04:09.000Z,"56,146737","10,202190","56,139404","10,206598","266,660","266,660","1000,00",390,49,121,131,85,90,0,19,distance,running,generic,26,28,"0,41","0,50","3,750","4,973",25
2025-01-17T18:12:50.000Z,1,lap,stop,2025-01-17T18:08:36.000Z,"56,139374","10,206642","56,131407","10,212683","254,497","254,497","1000,00",382,65,151,167,90,92,0,6,distance,running,generic,24,25,"0,84","0,50","3,929","4,189",24
2025-01-17T18:17:27.000Z,2,lap,stop,2025-01-17T18:12:51.000Z,"56,131375","10,212663","56,125598","10,205664","276,929","276,929","1000,00",422,82,173,177,92,95,39,5,distance,running,generic,25,26,"0,10","0,50","3,611","3,779",24
2025-01-17T18:21:48.000Z,3,lap,stop,2025-01-17T18:17:28.000Z,"56,125589","10,205620","56,123534","10,192967","261,207","261,207","1000,00",398,80,177,184,92,94,32,0,distance,running,generic,26,26,"0,35","0,50","3,828","4,273",25
2025-01-17T18:25:51.000Z,4,lap,stop,2025-01-17T18:21:49.000Z,"56,123507","10,192916","56,126713","10,185001","243,490","243,490","1000,00",365,73,174,183,90,93,0,30,distance,running,generic,22,25,"0,75","0,50","4,107","4,301",20
2025-01-17T18:29:57.000Z,5,lap,stop,2025-01-17T18:25:52.000Z,"56,126751","10,184981","56,134196","10,191286","245,266","245,266","1000,00",369,71,170,179,90,93,1,27,distance,running,generic,20,20,"0,73","0,50","4,077","4,236",20
2025-01-17T18:34:10.000Z,6,lap,stop,2025-01-17T18:29:58.000Z,"56,134175","10,191340","56,130181","10,202644","253,163","253,163","1000,00",384,74,172,177,92,93,9,1,distance,running,generic,20,20,"0,09","0,50","3,950","4,441",19
2025-01-17T18:38:44.000Z,7,lap,stop,2025-01-17T18:34:11.000Z,"56,130152","10,202697","56,124231","10,200837","274,446","274,446","1000,00",418,84,177,185,92,94,34,1,distance,running,generic,19,20,"0,21","0,50","3,644","4,003",19
2025-01-17T18:42:51.000Z,8,lap,stop,2025-01-17T18:38:45.000Z,"56,124235","10,200781","56,129811","10,202065","246,938","246,938","1000,00",371,74,175,183,90,94,1,29,distance,running,generic,19,19,"0,81","0,50","4,050","4,395",18
2025-01-17T18:46:45.000Z,9,lap,stop,2025-01-17T18:42:52.000Z,"56,129835","10,202069","56,138071","10,205067","233,578","233,578","1000,00",355,66,169,174,91,93,0,19,distance,running,generic,19,19,"0,98","0,50","4,281","4,217",19
2025-01-17T18:50:58.000Z,10,lap,stop,2025-01-17T18:46:46.000Z,"56,138092","10,205104","56,145791","10,202262","253,633","239,305","1000,00",363,72,176,180,92,93,15,2,distance,running,generic,19,19,"0,33","0,50","4,179","5,253",19
2025-01-17T18:51:26.000Z,11,lap,stop,2025-01-17T18:50:59.000Z,"56,145822","10,202249","56,146524","10,202148","21,785","21,785","83,26",30,6,178,180,91,93,1,0,sessionEnd,running,generic,19,19,"0,50","0,50","3,822","3,686",19
