timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-04T06:54:48.000Z,0,lap,stop,2025-01-04T06:49:54.000Z,"56,146675","10,201981","56,139047","10,205964","293,685","293,685","1000,00",435,68,141,150,87,92,0,17,distance,running,generic,25,27,"0,35","0,50","3,405","4,124",25
2025-01-04T06:59:35.000Z,1,lap,stop,2025-01-04T06:54:49.000Z,"56,139017","10,205958","56,130821","10,202171","287,306","287,306","1000,00",438,75,152,158,91,94,11,1,distance,running,generic,24,25,"0,87","0,50","3,481","3,947",23
2025-01-04T07:04:26.000Z,2,lap,stop,2025-01-04T06:59:36.000Z,"56,130793","10,202167","56,126658","10,209696","291,045","291,045","1000,00",441,81,163,175,91,95,22,7,distance,running,generic,23,24,"0,79","0,00","3,436","3,928",23
2025-01-04T07:10:17.000Z,3,lap,stop,2025-01-04T07:04:27.000Z,"56,126691","10,209720","56,134734","10,209710","351,037","271,564","1000,00",411,50,137,158,89,97,0,33,distance,running,generic,21,24,"0,41","0,50","3,682","4,217",18
2025-01-04T07:15:02.000Z,4,lap,stop,2025-01-04T07:10:18.000Z,"56,134769","10,209700","56,142550","10,202568","285,143","285,143","1000,00",435,61,143,155,92,94,11,0,distance,running,generic,18,19,"0,56","0,50","3,507","3,658",17
2025-01-04T07:21:52.000Z,5,lap,stop,2025-01-04T07:15:03.000Z,"56,142576","10,202537","56,146864","10,202211","341,419","231,605","750,99",348,57,155,166,91,94,8,0,sessionEnd,running,generic,16,19,"0,21","0,50","3,243","3,583",15
