timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-13T15:02:47.000Z,0,lap,stop,2025-01-13T14:57:14.000Z,"56,146699","10,202263","56,139224","10,207097","333,758","279,469","1000,00",408,65,138,148,84,93,0,15,distance,running,generic,24,26,"0,41","0,50","3,578","4,003",23
2025-01-13T15:07:15.000Z,1,lap,stop,2025-01-13T15:02:48.000Z,"56,139199","10,207144","56,130920","10,212539","267,374","267,374","1000,00",407,73,158,163,92,93,1,2,distance,running,generic,22,23,"0,03","0,50","3,740","4,003",22
2025-01-13T15:12:42.000Z,2,lap,stop,2025-01-13T15:07:16.000Z,"56,130890","10,212541","56,125449","10,203977","327,085","310,276","1000,00",469,88,164,176,90,93,30,0,distance,running,generic,18,22,"0,60","0,50","3,223","3,667",16
2025-01-13T15:17:13.000Z,3,lap,stop,2025-01-13T15:12:43.000Z,"56,125440","10,203930","56,128497","10,199443","270,734","270,734","1000,00",409,77,166,175,91,93,16,22,distance,running,generic,16,16,"0,20","0,50","3,694","4,031",15
2025-01-13T15:22:01.000Z,4,lap,stop,2025-01-13T15:17:14.000Z,"56,128531","10,199479","56,134774","10,197825","288,080","288,080","1000,00",429,77,158,168,90,93,0,21,distance,running,generic,16,17,"0,20","0,50","3,471","4,078",16
2025-01-13T15:26:32.000Z,5,lap,stop,2025-01-13T15:22:02.000Z,"56,134779","10,197780","56,135202","10,194274","271,325","271,325","1000,00",411,74,161,170,91,94,4,5,distance,running,generic,16,17,"0,87","0,50","3,686","4,348",16
2025-01-13T15:31:05.000Z,6,lap,stop,2025-01-13T15:26:33.000Z,"56,135209","10,194331","56,138409","10,200469","273,094","273,094","1000,00",413,77,166,171,91,93,7,5,distance,running,generic,16,17,"0,41","0,50","3,662","3,900",16
2025-01-13T15:35:43.000Z,7,lap,stop,2025-01-13T15:31:06.000Z,"56,138409","10,200469","56,145779","10,202302","278,128","278,128","1000,00",421,79,167,173,91,94,12,1,distance,running,generic,17,18,"0,91","0,50","3,595","4,133",17
2025-01-13T15:39:53.000Z,8,lap,stop,2025-01-13T15:35:44.000Z,"56,145779","10,202302","56,146811","10,202424","245,781","21,956","76,39",28,6,162,168,83,93,1,0,sessionEnd,running,generic,18,24,"0,45","0,50","3,479","3,695",17
