timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-16T17:46:15.000Z,0,lap,stop,2025-01-16T17:38:52.000Z,"56,168284","10,225300","56,162974","10,216684","442,743","390,525","1000,00",564,85,139,149,84,90,0,3,distance,running,generic,26,29,"0,45","0,50","2,561","2,902",23
2025-01-16T17:52:50.000Z,1,lap,stop,2025-01-16T17:46:16.000Z,"56,162954","10,216674","56,154470","10,213439","394,068","385,117","1000,00",560,91,149,161,87,89,0,5,distance,running,generic,18,23,"0,02","0,50","2,597","2,855",16
2025-01-16T17:59:39.000Z,2,lap,stop,2025-01-16T17:52:51.000Z,"56,154448","10,213428","56,158541","10,214404","409,808","409,808","1000,00",590,87,143,165,86,90,1,1,distance,running,generic,16,16,"0,92","0,50","2,440","3,210",16
2025-01-16T18:07:29.000Z,3,lap,stop,2025-01-16T17:59:40.000Z,"56,158570","10,214427","56,164058","10,225083","469,213","396,858","1000,00",569,74,136,153,84,89,1,0,distance,running,generic,17,17,"0,48","0,50","2,520","2,762",16
2025-01-16T18:14:20.000Z,4,lap,stop,2025-01-16T18:07:30.000Z,"56,164044","10,225117","56,167036","10,229362","411,193","411,193","1000,00",597,97,153,164,87,89,3,2,distance,running,generic,17,17,"0,40","0,50","2,432","2,799",17
2025-01-16T18:37:11.000Z,5,lap,stop,2025-01-16T18:14:21.000Z,"56,167053","10,229326","56,168615","10,225727","158,489","158,489","404,77",228,41,162,167,87,89,0,1,sessionEnd,running,generic,17,17,"0,77","0,50","2,554","2,687",17
